State,7/31/2020,7/24/2020,7/17/2020,7/10/2020,7/3/2020,6/26/2020,6/19/2020,6/12/2020,6/5/2020,5/29/2020,5/22/2020,5/15/2020,5/8/2020,5/1/2020,4/24/2020,4/17/2020,4/10/2020,4/3/2020,3/27/2020,3/20/2020,3/13/2020,3/6/2020,2/28/2020,2/21/2020,2/14/2020,2/7/2020,1/31/2020,1/24/2020,1/17/2020,1/10/2020,1/3/2020,12/27/2019,12/20/2019,12/13/2019,12/6/2019,11/29/2019,11/22/2019,11/15/2019,11/8/2019,11/1/2019,10/25/2019,10/18/2019,10/11/2019,10/4/2019,9/27/2019,9/20/2019,9/13/2019,9/6/2019,8/30/2019,8/23/2019,8/16/2019,8/9/2019,8/2/2019,7/26/2019,7/19/2019,7/12/2019,7/5/2019,6/28/2019,6/21/2019,6/14/2019,6/7/2019,5/31/2019
Nevada,16708,18390,15548,14666,12484,11110,10347,10620,10748,11337,15607,17837,21635,28550,42541,39496,58641,79285,71942,92298,6356,2309,2324,2052,2543,2794,2286,2101,2451,2792,2264,2544,2573,2655,3141,2566,2572,2418,2521,2170,1897,2085,2450,2351,1799,1887,2055,2045,2438,2252,2087,2214,2129,1904,2021,2483,2359,2130,2402,2514,2114,2355
New Hampshire,2545,3276,3519,2930,5776,5163,5413,6431,6303,6127,7266,8794,10016,12475,15001,20414,25273,39202,31378,29379,642,495,894,444,424,507,456,577,613,722,690,1123,656,665,698,491,571,453,510,483,486,350,391,416,373,356,326,343,374,427,464,467,423,425,408,490,553,615,800,430,364,357
New Jersey,15845,28073,25932,38825,47402,27992,33027,26438,23166,26752,34410,42365,69689,88326,71966,140139,141420,214836,206253,115815,9467,7996,7773,8396,8550,9288,8304,9325,10728,13469,15325,22855,13001,10806,12463,9149,9523,8978,12747,7550,7990,7482,7706,7721,6699,6718,7455,6658,7103,7746,7541,8224,8205,7265,8070,8910,12612,18558,13644,8064,8217,6230
New Mexico,5997,7254,7668,6381,5666,5083,4945,5111,5290,6672,7058,7356,8024,13675,12093,13621,19043,26132,27849,18105,869,690,681,737,725,873,784,764,947,1194,799,1135,986,939,1041,811,928,882,1008,928,933,843,825,948,699,681,723,680,652,668,681,687,746,634,631,823,686,671,746,786,995,1235
New York,73740,85049,88176,91546,93740,89834,89031,95150,93799,81926,189087,223962,199419,195110,219413,205184,394701,344451,366595,79999,14272,14035,31208,14144,14333,15010,16545,15022,17823,23314,44846,18384,16062,18108,24396,13521,18992,15999,15717,12996,13085,12110,15041,11894,10893,10840,12617,11569,15116,16540,12088,12153,11545,11660,11845,25416,25279,14376,11783,12287,13991,13151
North Carolina,17402,26995,29204,28108,27937,29580,29199,32188,33865,37047,44202,46913,57354,85956,98941,106266,140155,137422,172145,94083,3533,2575,1767,2852,3094,3326,3611,3344,4217,4628,3508,2126,3586,3649,3843,2182,3523,3105,3494,3307,3283,3377,3222,3766,3142,3104,3172,2661,3041,2877,3014,3158,3371,3105,3264,3397,2679,3321,3252,3323,3247,2778
North Dakota,1061,1203,1915,1532,1720,1511,1821,2073,2252,2315,2978,2619,2753,4044,6274,8065,9502,15125,11818,5662,415,423,363,435,457,526,447,543,785,1530,836,961,1016,1128,1004,697,739,761,650,631,430,326,268,312,197,205,252,233,239,540,211,229,204,214,273,335,497,376,290,253,327,452
Ohio,25279,28033,30325,35755,33830,35908,34926,33139,36154,35078,42585,46862,52255,61487,93599,109830,159317,226191,274288,196309,7046,6545,9916,6208,6532,6825,7329,8086,7865,9957,10759,15943,10634,9999,10388,9372,7868,8739,7811,7314,7368,6262,5904,6159,7048,4887,4566,4428,4715,4933,4659,4814,4921,4949,5655,7503,6295,5970,5980,5698,7063,7161
Oklahoma,5720,8927,9879,9680,9423,18405,58613,84779,77525,60376,43714,33440,39079,93885,52500,46696,54481,60534,47744,21926,1836,1569,1458,1509,1633,1715,1779,1830,1981,2034,2943,2158,2124,1955,1971,2922,2111,2800,1840,1750,1674,1622,2674,1692,1623,1660,1519,1452,1424,1624,1599,1611,1558,1507,1838,2000,2011,1821,1691,1820,1933,2144
Oregon,7175,9417,10152,11713,10343,11195,16274,24645,24508,20565,28452,23539,33936,48120,49300,37209,54581,62788,47498,30054,4269,4154,3936,3514,4284,4953,4853,4457,4051,6215,6714,7231,4892,5519,6576,4283,4994,3942,3888,3456,3691,3973,3555,3492,3286,3637,3867,3182,3191,3264,2972,3358,3262,3148,3436,4972,4915,3771,3933,3504,3548,3491
