year,month,state,total_cases,total_deaths
2020,8,Florida,4014090,60067
2020,8,Georgia,1480641,31062
2020,8,Guam,10822,48
2020,8,Hawaii,21432,215
2020,8,Idaho,181921,1722
2020,8,Illinois,1503735,62151
2020,8,Indiana,572796,24001
2020,8,Iowa,373778,7177
2020,8,Kansas,237105,2959
2020,8,Kentucky,268678,6174
2020,8,Louisiana,992943,32687
2020,8,Maine,31869,990
2020,8,Maryland,741031,28303
2020,8,Massachusetts,954877,69349
2020,8,Michigan,749927,51900
2020,8,Minnesota,460886,13333
2020,8,Mississippi,503684,14211
2020,8,Missouri,443060,10709
2020,8,Montana,35645,527
2020,8,Nebraska,218886,2743
2020,8,Nevada,419707,7035
2020,8,New Hampshire,53658,3343
2020,8,New Jersey,1480393,126789
2020,8,New Mexico,171701,5310
2020,8,New York,3381307,259067
2020,8,North Carolina,1033617,16581
2020,8,North Dakota,56081,891
2020,8,Northern Mariana Islands,369,16
2020,8,Ohio,766607,28687
2020,8,Oklahoma,321199,4595
2020,8,Oregon,158907,2724
2020,8,Pennsylvania,960738,58498
2020,8,Puerto Rico,156093,1965
2020,8,Rhode Island,155248,8089
2020,8,South Carolina,759476,14974
2020,8,South Dakota,73210,1108
2020,8,Tennessee,888300,8990
2020,8,Texas,3802748,64735
2020,8,Utah,338379,2601
2020,8,Vermont,11488,459
2020,8,Virgin Islands,3823,68
2020,8,Virginia,757927,18107
2020,8,Washington,496421,13664
2020,8,West Virginia,57045,980
2020,8,Wisconsin,487661,7816
2020,8,Wyoming,23203,216
